symbol,totalBindingSites,log2FoldChange_dyna
RTCA,1,0.7208819286973224
CDC14A,2,1.8681568237416089
FAM102B,2,1.0013967220123665
CEPT1,4,0.3144312495320088
RAP1A,2,0.4139404738759498
RAP1A,2,0.4139404738759498
CHD1L,3,0.6327233090997431
GPR89B,2,0.4347631476100664
PRPF3,4,0.5350023104967834
RPRD2,11,0.0877505773329317
GABPB2,2,0.36276482244188807
PIP5K1A,2,0.2943025377433447
UBAP2L,2,0.013011934899687687
HAX1,1,1.2499809628348917
IL6R,2,2.1276215628063477
TRIM46,2,4.322227755089472
RUSC1,1,0.27723787715306925
NHLH1,1,6.438643386935707
ATF6,1,0.21609890782244448
UHMK1,2,1.2785725400456238
NUF2,3,0.6336466640964
UCK2,1,0.2606644215509515
POU2F1,10,0.4980722399080286
PRRC2C,13,0.5336723673197313
SUCO,1,1.2314171011604922
KLHL20,2,0.5324203845009972
RABGAP1L,2,1.1878126332499284
RASAL2,7,0.11957215718561988
FAM20B,3,0.2931016048347198
CEP350,8,0.23934303781415525
XPR1,4,0.004376667363270072
DHX9,1,0.013944537249994662
SMG7,14,1.8420598249373796
CDC73,3,0.5610821527395594
NEK7,4,0.6177400880997067
PPP1R12B,2,1.7799841319062562
PPP1R12B,2,1.7799841319062562
PPP1R12B,2,1.7799841319062562
ATP2B4,2,0.16164625945472774
MDM4,1,0.2863378845039277
MDM4,1,0.2863378845039277
MDM4,1,0.2863378845039277
MDM4,1,0.2863378845039277
MDM4,1,0.2863378845039277
MDM4,1,0.2863378845039277
CD55,2,0.8512686922921844
HHAT,1,0.21024925718169896
RPS6KC1,2,0.41796677059721765
TGFB2,1,0.8437997922838029
CNIH4,1,0.4386699243336877
TSNAX-DISC1,1,0.23859059293798224
TSNAX-DISC1,1,0.23859059293798224
TSNAX-DISC1,1,0.23859059293798224
TSNAX-DISC1,1,0.23859059293798224
TSNAX-DISC1,1,0.23859059293798224
TSNAX-DISC1,1,0.23859059293798224
TSNAX-DISC1,1,0.23859059293798224
TSNAX-DISC1,1,0.23859059293798224
TSNAX-DISC1,1,0.23859059293798224
DISC1,3,0.7881777760939671
TBCE,5,0.20802382557895158
EXO1,1,0.14156133031679335
DESI2,1,0.16796019893099823
EFCAB2,5,0.24499074796112522
CNST,6,0.5907667357052541
PGBD2,1,1.5229602795946533
INTS11,3,1.2403855883927468
DVL1,6,3.8875575003634135
NOL9,1,0.47678882409285045
KLHL21,2,1.0445838973240125
DNAJC11,3,0.04896532056122145
RERE,7,0.29481417613800887
UBR4,8,0.6338526044836119
HP1BP3,2,1.0452285363644052
USP48,11,0.6595858830033221
HSPG2,2,0.17449562673214286
IFNLR1,2,0.25116013917997054
PAFAH2,5,0.13796166942819446
WASF2,4,0.6168193744446319
RNF19B,1,1.2310487943085282
KIAA0319L,2,0.07020648685315117
PSMB2,7,0.7031641434517538
CLSPN,4,0.506852738832257
TRAPPC3,6,0.018260138724057483
STK40,2,0.8240642485199419
MEAF6,1,0.4407144781284451
YRDC,2,1.272411783463608
MTF1,1,0.21726113047522388
INPP5B,3,0.16604163487856688
RRAGC,3,0.001664350810821134
MYCBP,1,0.8320277139083911
TRIT1,1,0.007503705309674054
SCMH1,9,1.4960146485731818
FOXJ3,2,0.9859426629887248
P3H1,1,0.06278464432507924
POMGNT1,5,1.735861698553209
MKNK1,1,0.06162620253534051
STIL,2,0.28633840508781166
FAF1,8,0.18465381520502544
NDC1,8,0.2564419227432076
USP24,1,0.6187161998801861
TM2D1,1,1.084138412261119
TM2D1,1,1.084138412261119
JAK1,2,0.020470213467784826
LRRC40,1,0.158572413977134
ANKRD13C,6,0.34252254105539603
ZZZ3,8,0.5542359982700555
FUBP1,1,0.20732080135513342
ZNF644,2,0.6571369214749991
SASS6,3,0.38787518028024015
WDR47,3,1.8364250288518655
KCNA3,1,1.483344245717979
TRIM33,1,0.07015505450002474
CSDE1,3,0.46379187430831675
LIX1L,2,0.0282108616182789
CERS2,10,0.6987986255584822
DENND4B,2,1.3843881334022878
C1orf43,10,1.482719920617969
ASH1L,10,0.94308550393492
GON4L,6,1.2547684938320098
ARHGEF2,8,1.5156343819542606
CCT3,9,0.17187029023875264
MEF2D,5,1.8450651077165512
IQGAP3,2,0.08324030097018015
ETV3,1,0.01900102741191541
IGSF8,2,0.021424896062696284
IGSF8,2,0.021424896062696284
COPA,4,0.3567766758838278
PFDN2,1,0.9649831196329929
B4GALT3,3,1.3403297400613576
ADCY10,2,0.81749876728366
NME7,3,0.4210820372657149
CENPL,1,0.29416485907334955
RC3H1,3,0.8577064504954723
ABL2,4,0.5228502819774493
RGS16,4,0.17284299085731328
COLGALT2,1,0.7613258869046602
TRMT1L,3,0.9396421831511066
TPR,1,1.274743575027549
DDX59,2,0.6980600060987449
KIF21B,6,0.7930217020740387
UBE2T,2,0.43333328198732407
KDM5B,4,0.8450757202109115
KLHL12,3,0.8688662643200492
ELK4,2,0.41437517906527616
SLC45A3,2,2.4553808403842563
SLC41A1,2,1.0468301967476739
SLC30A1,1,0.5748361141093999
BPNT1,1,0.6052062145248739
RAB3GAP2,1,0.8068908628172521
TP53BP2,4,0.7465989821207213
NVL,8,0.4434522631895338
LBR,11,0.5224591110435937
PYCR2,1,0.4801314322825694
SDE2,2,0.9281248800275317
LIN9,7,0.6822250592524419
TRIM11,3,0.26229228017655026
CCSAP,1,2.3558203953264245
NUP133,2,0.5241036166753127
ABCB10,2,0.33634686094569266
